"CAT","AN","Q_CAT","Q_AN","FORMULA","Name","IDENT","M_WT","CAT_WT","AN_WT","Max","FLD","Ink","A_WT","ShowCalc","NoMol","FCALC","Visible","order","ShowOrder","Format","Flag","System","qAtom","Atoms","SimpleComp"
"R","F",,,"RF3","RFã","rf3",0,,,0.699999988079071,"RF3",false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"R","F",,,"RF4","RFä","rf4",0,,,0.699999988079071,"RF4",false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"R","F",,,"RF5","RFå","rf5",0,,,0.699999988079071,"RF5",false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"Sb","O",,,"SbmOn","SbŒO","sbmon",0,,,0.699999988079071,,false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"Sn","O",,,"SnmOn","SnŒO","snmon",0,,,0.699999988079071,,false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"Tl","O",,,"TlmOn","TlŒO","tlmon",0,,,0.699999988079071,,false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"U","O",,,"UmOn","UŒO","umon",0,,,0.699999988079071,,false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"V","O",,,"VmOn","VŒO","vmon",0,,,0.699999988079071,,false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"R",,,,"RHaln","RHal","rhaln",0,,,0.699999988079071,"RHaln",false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
"Ag","S",2,1,"Ag2S","AgâS","ags",247.80239868164062,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",3,"Ag 2 107.8682 S 1 32.066 ",
"Eu","O",1,1,"EuO","EuO","eu2",167.9644012451172,,,0.699999988079071,,false,,false,false,"EuO,RmOn,EumOn,RO",0,0,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Eu 1 151.965 O 1 15.9994 ",
"Hg","F",1,1,"HgF","HgF","hgf",219.58839416503906,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",2,"Hg 1 200.59 F 1 18.9984 ",
"Hg","S",1,1,"HgS","HgS","hgs",232.656005859375,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"Hg 1 200.59 S 1 32.066 ",
"P","F",1,3,"PF3","PFã","pf3",87.96896362304688,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF3",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",4,"P 1 30.97376 F 3 18.9984 ",
"Rb","I",1,1,"RbI","RbI","rbi",212.37229919433594,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",2,"Rb 1 85.4678 I 1 126.9045 ",
"Sn",,1,,"Sn","Sn","sn0",118.70999908447266,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Sn 1 118.71 ",
"Ta","O",2,3,"Ta2O3","TaâOã","ta3",409.8940124511719,,,0.699999988079071,,false,,false,false,"Ta2O3,RmOn,TamOn,R2O3",0,0,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"Ta 2 180.9479 O 3 15.9994 ",
"Ta","F",1,5,"TaF5","TaFå","taf5",275.9399108886719,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF5",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",6,"Ta 1 180.9479 F 5 18.9984 ",
"V","O",2,3,"V2O3","VâOã","v3",149.88119506835938,,,0.699999988079071,,false,,false,false,"V2O3,RmOn,VmOn,R2O3",0,0,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"V 2 50.9415 O 3 15.9994 ",
"Zn",,1,,"Zn","Zn","zn0",65.38999938964844,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Zn 1 65.39 ",
"As","S",2,3,"As2S3","AsâSã","ass",246.04119873046875,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",5,"As 2 74.92159 S 3 32.066 ",
,,,,"NbO2F","NbOâF","nbo2f",143.90359497070312,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",4,"Nb 1 92.90638 O 2 15.9994 F 1 18.9984 ",
"Tb","O",3,7,"Tb3O7","TbãOç","tb37",588.771728515625,,,0.699999988079071,,false,,false,false,"Tb3O7,RmOn,TbmOn",0,0,1,"##0.##;##0.00;\-;\*",1,"Others",10,"Tb 3 158.9253 O 7 15.9994 ",
"Tb","O",4,7,"Tb4O7","TbäOç","tb4o7",747.697021484375,,,0.699999988079071,,false,,false,false,"Tb4O7,RmOn,TbmOn",0,0,1,"##0.##;##0.00;\-;\*",1,"Others",11,"Tb 4 158.9253 O 7 15.9994 ",
"Li","S",2,1,"Li2S","LiâS","lis",45.948001861572266,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",3,"Li 2 6.941 S 1 32.066 ",
"Si","S",1,2,"SiS2","SiSâ","sis",92.2175064086914,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",3,"Si 1 28.0855 S 2 32.066 ",
"Te","Cl",1,4,"TeCl4","TeClä","tecl4",269.4107971191406,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",5,"Te 1 127.6 Cl 4 35.4527 ",
"W","Cl",1,6,"WCl6","WClæ","wcl6",396.5661926269531,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",7,"W 1 183.85 Cl 6 35.4527 ",
"Cd","Te",1,1,"CdTe","CdTe","cdte",240.01100158691406,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"Cd 1 112.411 Te 1 127.6 ",
"Ge","Se",1,1,"GeSe","GeSe","gese",151.57000732421875,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"Ge 1 72.61 Se 1 78.96 ",
"Ge","Se",1,2,"GeSe2","GeSeâ","gese2",230.52999877929688,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",3,"Ge 1 72.61 Se 2 78.96 ",
"Li",,1,,"Li2SO3","LiâSOã","li2so3",93.94619750976562,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",6,"Li 2 6.941 S 1 32.066 O 3 15.9994 ","Li2O 1 SO2 1"
"Pb","Se",1,1,"PbSe","PbSe","pbse",286.1600036621094,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"Pb 1 207.2 Se 1 78.96 ",
"P","S",2,5,"P2S5","PâSå","ps",222.27749633789062,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",7,"P 2 30.97376 S 5 32.066 ",
"Zn","S",1,1,"ZnS","ZnS","zns",97.45600128173828,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"Zn 1 65.39 S 1 32.066 ",
,,,,"Ag2SO4","AgâSOä","agso",311.79998779296875,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",7,"Ag 2 107.8682 S 1 32.066 O 4 15.9994 ","Ag2O 1 SO3 1"
"Ca","S",1,1,"CaS","CaS","cas",72.14399719238281,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"Ca 1 40.078 S 1 32.066 ",
"Cu",,1,,"Cu","Cu","cu0",63.54600143432617,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Cu 1 63.546 ",
"Se","O",1,3,"SeO3","SeOã","se6",126.95819854736328,,,0.699999988079071,,false,,false,false,"SeO3,RmOn,SemOn,RO3",0,0,1,"##0.##;##0.00;\-;\*",1,"RO3",4,"Se 1 78.96 O 3 15.9994 ",
