"Title","ShTitle","Abbr","flag"
"Khimiya Redkikh Elementov, Leningrad","Khimiya Redkikh Elementov, Leningrad","KRE",1
"In: Khimiya Tverdogo Tela, Leningrad","In: Khimiya Tverdogo Tela, Leningrad","KTT",1
"Kolloid Z.,Z.Polymere","Kolloid Z.,Z.Polymere","KZ",1
"Metall.Trans.","Metall.Trans.","MT",1
"Nature","Nature","N",1
"Neorg.Mater.","Neorg.Mater.","NM",1
"Ogneupory","Ogneupory","OG",1
"Opt.Mekh.Prom.","Opt.Mekh.Prom.","OMP",1
"Proc.Br.Ceram.Soc.","Proc.Br.Ceram.Soc.","PBCS",1
"Proc.XVth Intern.Congr.on Glass, Leningrad","Proc.XVth Intern.Congr.on Glass, Leningrad","CGXV",1
"Phys.Chem.Glasses","Phys.Chem.Glasses","PCG",1
"Proc.Imper.Acad.Tokyo","Proc.Imper.Acad.Tokyo","PIAT",1
"Philos.Mag.,B","Philos.Mag.,B","PM;B",1
"Philips Res.Repts Suppl.","Philips Res.Repts Suppl.","PRRS",1
"Proc.R.Soc.London,Ser.A","Proc.R.Soc.London,Ser.A","PRSL;A",1
"Phys.Status Solidi A","Phys.Status Solidi A","PSSA",1
"Perekhodnye Stekla i Spai v Elektrovakuumnoi Promyshlennosti, Moskva","Perekhodnye Stekla i Spai v Elektrovak.Promyshlennosti, Moskva","PSSEVP",1
"Rep.Asahi Glass Contr.Found.Ind.Technol.","Rep.Asahi Glass Contr.Found.Ind.Technol.","RAGFIT",1
"Rev.Electr.Comm.Labor.","Rev.Electr.Comm.Labor.","RECL",1
"Rep.Governm.Ind.Res.Inst.Osaka","Rep.Governm.Ind.Res.Inst.Osaka","RGIRIO",1
"Rev.Int.Hautes Temp.Refract.","Rev.Int.Hautes Temp.Refract.","RIHTR",1
"Rep.Ind.Res.Inst.Aichi Prefect","Rep.Ind.Res.Inst.Aichi Prefect","RIRIAP",1
"Rev.Metall., Paris","Rev.Metall., Paris","RM;P",1
"Radex-Rundsch.","Radex-Rundsch.","RR",1
"Res.Rep.Fac.Eng.Mie Univ","Res.Rep.Fac.Eng.Mie Univ.","RRFEMU",1
"Rev.Sci.Instr.","Rev.Sci.Instr.","RSI",1
"Sb.Vys.Sk.Chem.Technol.Praze,Chem.Technol.Silik.","Sb.Vys.Sk.Chem.Technol.Praze,Chem.Technol.Silik.","SVSCTP",1
"Steklo","Steklo","S",1
"Silikaty","Silikaty","SIL",1
"Steklo Keram.","Steklo Keram.","SK",1
"Suomen Kemist","Suomen Kemist","SKEM",1
"Sklar a keramik","Sklar a keramik","SKER",1
"Sprechsaal Keram.,Glas,Email,Silik.","Sprechsaal Keram.,Glas,Email,Silik.","SKGES",1
